Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
751,Exit long,2025-12-21 22:15,Short,25679,1,506785,6795,1.34,7200,1.42,-265,-0.05,-36720,-3.67
751,Entry long,2025-12-19 09:00,Long,25339.25,1,506785,6795,1.34,7200,1.42,-265,-0.05,-36720,-3.67
752,Exit short,2025-12-22 01:15,Long,25681.5,1,513580,-50,-0.01,335,0.07,-245,-0.05,-36770,-3.68
752,Entry short,2025-12-21 22:15,Short,25679,1,513580,-50,-0.01,335,0.07,-245,-0.05,-36770,-3.68
753,Exit long,2025-12-22 10:45,Short,25674.5,1,513630,-140,-0.03,2265,0.44,-1070,-0.21,-36910,-3.69
753,Entry long,2025-12-22 01:15,Long,25681.5,1,513630,-140,-0.03,2265,0.44,-1070,-0.21,-36910,-3.69
754,Exit short,2025-12-22 11:15,Long,25711.75,1,513490,-745,-0.15,40,0.01,-935,-0.18,-37655,-3.77
754,Entry short,2025-12-22 10:45,Short,25674.5,1,513490,-745,-0.15,40,0.01,-935,-0.18,-37655,-3.77
755,Exit long,2025-12-22 13:15,Short,25688.5,1,514235,-465,-0.09,310,0.06,-775,-0.15,-38120,-3.81
755,Entry long,2025-12-22 11:15,Long,25711.75,1,514235,-465,-0.09,310,0.06,-775,-0.15,-38120,-3.81
756,Exit short,2025-12-22 16:45,Long,25700.25,1,513770,-235,-0.05,245,0.05,-475,-0.09,-38355,-3.84
