Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
898,Exit short,2026-01-20 05:45,Long,25176,1,508165,4645,0.91,6260,1.23,-250,-0.05,-32170,-3.22
898,Entry short,2026-01-19 22:30,Short,25408.25,1,508165,4645,0.91,6260,1.23,-250,-0.05,-32170,-3.22
899,Exit long,2026-01-20 12:45,Short,25292.75,1,503520,2335,0.46,5075,1.01,-65,-0.01,-29835,-2.98
899,Entry long,2026-01-20 05:45,Long,25176,1,503520,2335,0.46,5075,1.01,-65,-0.01,-29835,-2.98
900,Exit short,2026-01-20 18:30,Long,25162,1,505855,2615,0.52,3895,0.77,-370,-0.07,-27220,-2.72
900,Entry short,2026-01-20 12:45,Short,25292.75,1,505855,2615,0.52,3895,0.77,-370,-0.07,-27220,-2.72
901,Exit long,2026-01-21 04:30,Short,25175.75,1,503240,275,0.05,1690,0.34,-1170,-0.23,-26945,-2.69
901,Entry long,2026-01-20 18:30,Long,25162,1,503240,275,0.05,1690,0.34,-1170,-0.23,-26945,-2.69
902,Exit short,2026-01-21 05:30,Long,25182.5,1,503515,-135,-0.03,1080,0.21,-250,-0.05,-27080,-2.71
902,Entry short,2026-01-21 04:30,Short,25175.75,1,503515,-135,-0.03,1080,0.21,-250,-0.05,-27080,-2.71
903,Exit long,2026-01-21 06:00,Short,25138.75,1,503650,-875,-0.17,110,0.02,-965,-0.19,-27955,-2.80
903,Entry long,2026-01-21 05:30,Long,25182.5,1,503650,-875,-0.17,110,0.02,-965,-0.19,-27955,-2.80
904,Exit short,2026-01-21 08:00,Long,25096.25,1,502775,850,0.17,2275,0.45,-410,-0.08,-27105,-2.71
904,Entry short,2026-01-21 06:00,Short,25138.75,1,502775,850,0.17,2275,0.45,-410,-0.08,-27105,-2.71
905,Exit long,2026-01-21 12:15,Short,25205.75,1,501925,2190,0.44,7960,1.59,-1105,-0.22,-24915,-2.49
905,Entry long,2026-01-21 08:00,Long,25096.25,1,501925,2190,0.44,7960,1.59,-1105,-0.22,-24915,-2.49
906,Exit short,2026-01-21 14:30,Short X,25536.75,1,504115,-6620,-1.31,1100,0.22,-6620,-1.31,-31535,-3.15
906,Entry short,2026-01-21 12:15,Short,25205.75,1,504115,-6620,-1.31,1100,0.22,-6620,-1.31,-31535,-3.15
907,Exit long,2026-01-21 19:45,Short,25558.5,1,511150,20,0.00,1920,0.38,-2230,-0.44,-31515,-3.15
907,Entry long,2026-01-21 14:30,Long,25557.5,1,511150,20,0.00,1920,0.38,-2230,-0.44,-31515,-3.15
908,Exit short,2026-01-21 20:30,Long,25598.75,1,511170,-805,-0.16,115,0.02,-825,-0.16,-32320,-3.23
908,Entry short,2026-01-21 19:45,Short,25558.5,1,511170,-805,-0.16,115,0.02,-825,-0.16,-32320,-3.23
909,Exit long,2026-01-21 21:30,Short,25566.5,1,511975,-645,-0.13,75,0.01,-675,-0.13,-32965,-3.30
909,Entry long,2026-01-21 20:30,Long,25598.75,1,511975,-645,-0.13,75,0.01,-675,-0.13,-32965,-3.30
