Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
9578,Exit long,2006-03-16 13:30,Short,1715,1,34260,40,0.12,200,0.58,-50,-0.15,-1430,-2.86
9578,Entry long,2006-03-16 07:15,Long,1713,1,34260,40,0.12,200,0.58,-50,-0.15,-1430,-2.86
9579,Exit short,2006-03-16 18:30,Long,1701,1,34300,280,0.82,340,0.99,0,0.00,-1150,-2.30
9579,Entry short,2006-03-16 13:30,Short,1715,1,34300,280,0.82,340,0.99,0,0.00,-1150,-2.30
9580,Exit long,2006-03-16 22:45,Short,1700,1,34020,-20,-0.06,0,0.00,-20,-0.06,-1170,-2.34
9580,Entry long,2006-03-16 18:30,Long,1701,1,34020,-20,-0.06,0,0.00,-20,-0.06,-1170,-2.34
9581,Exit short,2006-03-17 00:15,Long,1701,1,34000,-20,-0.06,10,0.03,-20,-0.06,-1190,-2.38
9581,Entry short,2006-03-16 22:45,Short,1700,1,34000,-20,-0.06,10,0.03,-20,-0.06,-1190,-2.38
9582,Exit long,2006-03-17 00:45,Short,1700,1,34020,-20,-0.06,0,0.00,-20,-0.06,-1210,-2.42
9582,Entry long,2006-03-17 00:15,Long,1701,1,34020,-20,-0.06,0,0.00,-20,-0.06,-1210,-2.42
9583,Exit short,2006-03-17 02:15,Long,1702,1,34000,-40,-0.12,0,0.00,-40,-0.12,-1250,-2.50
9583,Entry short,2006-03-17 00:45,Short,1700,1,34000,-40,-0.12,0,0.00,-40,-0.12,-1250,-2.50
9584,Exit long,2006-03-17 05:15,Short,1703.5,1,34040,30,0.09,60,0.18,-30,-0.09,-1220,-2.44
9584,Entry long,2006-03-17 02:15,Long,1702,1,34040,30,0.09,60,0.18,-30,-0.09,-1220,-2.44
9585,Exit short,2006-03-17 08:00,Long,1703,1,34070,10,0.03,30,0.09,-30,-0.09,-1210,-2.42
9585,Entry short,2006-03-17 05:15,Short,1703.5,1,34070,10,0.03,30,0.09,-30,-0.09,-1210,-2.42
9586,Exit long,2006-03-17 08:30,Long X,1698.5,1,34060,-90,-0.26,0,0.00,-90,-0.26,-1300,-2.60
9586,Entry long,2006-03-17 08:00,Long,1703,1,34060,-90,-0.26,0,0.00,-90,-0.26,-1300,-2.60
9587,Exit short,2006-03-17 10:00,Long,1700.5,1,33960,-50,-0.15,60,0.18,-80,-0.24,-1350,-2.70
9587,Entry short,2006-03-17 08:30,Short,1698,1,33960,-50,-0.15,60,0.18,-80,-0.24,-1350,-2.70
9588,Exit long,2006-03-17 10:45,Short,1696.5,1,34010,-80,-0.24,40,0.12,-100,-0.29,-1430,-2.86
9588,Entry long,2006-03-17 10:00,Long,1700.5,1,34010,-80,-0.24,40,0.12,-100,-0.29,-1430,-2.86
9589,Exit short,2006-03-17 11:15,Long,1699.5,1,33930,-60,-0.18,20,0.06,-80,-0.24,-1490,-2.98
9589,Entry short,2006-03-17 10:45,Short,1696.5,1,33930,-60,-0.18,20,0.06,-80,-0.24,-1490,-2.98
