Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
25,Entry short,2000-12-26 09:00,Short,2465.5,1,49310,1100,2.23,1830,3.71,-1080,-2.19,4530,9.06
26,Exit long,2000-12-26 19:30,Short,2472,1,48210,1230,2.55,1380,2.86,-30,-0.06,5760,11.52
26,Entry long,2000-12-26 15:30,Long,2410.5,1,48210,1230,2.55,1380,2.86,-30,-0.06,5760,11.52
27,Exit short,2000-12-27 03:45,Long,2470,1,49440,40,0.08,150,0.30,-120,-0.24,5800,11.60
27,Entry short,2000-12-26 19:30,Short,2472,1,49440,40,0.08,150,0.30,-120,-0.24,5800,11.60
28,Exit long,2000-12-27 08:30,Short,2457,1,49400,-260,-0.53,380,0.77,-300,-0.61,5540,11.08
28,Entry long,2000-12-27 03:45,Long,2470,1,49400,-260,-0.53,380,0.77,-300,-0.61,5540,11.08
29,Exit short,2000-12-27 11:00,Long,2483,1,49140,-520,-1.06,1190,2.42,-730,-1.49,5020,10.04
29,Entry short,2000-12-27 08:30,Short,2457,1,49140,-520,-1.06,1190,2.42,-730,-1.49,5020,10.04
30,Exit long,2000-12-27 13:30,Short,2473.5,1,49660,-190,-0.38,570,1.15,-460,-0.93,4830,9.66
30,Entry long,2000-12-27 11:00,Long,2483,1,49660,-190,-0.38,570,1.15,-460,-0.93,4830,9.66
31,Exit short,2000-12-27 15:00,Long,2484.5,1,49470,-220,-0.44,230,0.46,-500,-1.01,4610,9.22
31,Entry short,2000-12-27 13:30,Short,2473.5,1,49470,-220,-0.44,230,0.46,-500,-1.01,4610,9.22
32,Exit long,2000-12-27 20:00,Short,2510,1,49690,510,1.03,600,1.21,-310,-0.62,5120,10.24
32,Entry long,2000-12-27 15:00,Long,2484.5,1,49690,510,1.03,600,1.21,-310,-0.62,5120,10.24
33,Exit short,2000-12-27 21:30,Long,2513,1,50200,-60,-0.12,110,0.22,-60,-0.12,5060,10.12
33,Entry short,2000-12-27 20:00,Short,2510,1,50200,-60,-0.12,110,0.22,-60,-0.12,5060,10.12
34,Exit long,2000-12-28 03:15,Short,2512,1,50260,-20,-0.04,140,0.28,-20,-0.04,5040,10.08
34,Entry long,2000-12-27 21:30,Long,2513,1,50260,-20,-0.04,140,0.28,-20,-0.04,5040,10.08
35,Exit short,2000-12-28 06:00,Long,2504,1,50240,160,0.32,280,0.56,0,0.00,5200,10.40
35,Entry short,2000-12-28 03:15,Short,2512,1,50240,160,0.32,280,0.56,0,0.00,5200,10.40
36,Exit long,2000-12-28 06:30,Short,2491,1,50080,-260,-0.52,60,0.12,-260,-0.52,4940,9.88
36,Entry long,2000-12-28 06:00,Long,2504,1,50080,-260,-0.52,60,0.12,-260,-0.52,4940,9.88
37,Exit short,2000-12-28 09:30,Short X,2524.25,1,49820,-665,-1.33,570,1.14,-665,-1.33,4275,8.55
37,Entry short,2000-12-28 06:30,Short,2491,1,49820,-665,-1.33,570,1.14,-665,-1.33,4275,8.55
38,Exit long,2000-12-28 12:15,Short,2470,1,50590,-1190,-2.35,280,0.55,-1360,-2.69,3085,6.17
38,Entry long,2000-12-28 09:30,Long,2529.5,1,50590,-1190,-2.35,280,0.55,-1360,-2.69,3085,6.17
39,Exit short,2000-12-28 14:15,Long,2473.5,1,49400,-70,-0.14,350,0.71,-340,-0.69,3015,6.03
39,Entry short,2000-12-28 12:15,Short,2470,1,49400,-70,-0.14,350,0.71,-340,-0.69,3015,6.03
40,Exit long,2000-12-28 20:45,Short,2508,1,49470,690,1.39,830,1.68,-120,-0.24,3705,7.41
40,Entry long,2000-12-28 14:15,Long,2473.5,1,49470,690,1.39,830,1.68,-120,-0.24,3705,7.41
41,Exit short,2000-12-29 03:45,Long,2502,1,50160,120,0.24,260,0.52,-70,-0.14,3825,7.65
41,Entry short,2000-12-28 20:45,Short,2508,1,50160,120,0.24,260,0.52,-70,-0.14,3825,7.65
42,Exit long,2000-12-29 06:30,Short,2505.5,1,50040,70,0.14,260,0.52,-80,-0.16,3895,7.79
42,Entry long,2000-12-29 03:45,Long,2502,1,50040,70,0.14,260,0.52,-80,-0.16,3895,7.79
43,Exit short,2000-12-29 08:15,Long,2512,1,50110,-130,-0.26,130,0.26,-290,-0.58,3765,7.53
43,Entry short,2000-12-29 06:30,Short,2505.5,1,50110,-130,-0.26,130,0.26,-290,-0.58,3765,7.53
44,Exit long,2000-12-29 10:00,Long X,2466,1,50240,-920,-1.83,350,0.70,-920,-1.83,2845,5.69
44,Entry long,2000-12-29 08:15,Long,2512,1,50240,-920,-1.83,350,0.70,-920,-1.83,2845,5.69
45,Exit short,2001-01-02 07:00,Long,2409,1,48950,770,1.57,1780,3.64,-330,-0.67,3615,7.23
45,Entry short,2000-12-29 10:30,Short,2447.5,1,48950,770,1.57,1780,3.64,-330,-0.67,3615,7.23
46,Exit long,2001-01-02 08:30,Short,2378.5,1,48180,-610,-1.27,20,0.04,-660,-1.37,3005,6.01
46,Entry long,2001-01-02 07:00,Long,2409,1,48180,-610,-1.27,20,0.04,-660,-1.37,3005,6.01
47,Exit short,2001-01-02 13:15,Long,2233.5,1,47570,2900,6.10,3880,8.16,-100,-0.21,5905,11.81
47,Entry short,2001-01-02 08:30,Short,2378.5,1,47570,2900,6.10,3880,8.16,-100,-0.21,5905,11.81
48,Exit long,2001-01-02 14:00,Short,2208,1,44670,-510,-1.14,140,0.31,-600,-1.34,5395,10.79
48,Entry long,2001-01-02 13:15,Long,2233.5,1,44670,-510,-1.14,140,0.31,-600,-1.34,5395,10.79
49,Exit short,2001-01-02 18:30,Long,2176,1,44160,640,1.45,1550,3.51,-10,-0.02,6035,12.07
49,Entry short,2001-01-02 14:00,Short,2208,1,44160,640,1.45,1550,3.51,-10,-0.02,6035,12.07
50,Exit long,2001-01-02 22:15,Short,2179.5,1,43520,70,0.16,170,0.39,-10,-0.02,6105,12.21
50,Entry long,2001-01-02 18:30,Long,2176,1,43520,70,0.16,170,0.39,-10,-0.02,6105,12.21
51,Exit short,2001-01-03 03:15,Long,2181,1,43590,-30,-0.07,170,0.39,-110,-0.25,6075,12.15
51,Entry short,2001-01-02 22:15,Short,2179.5,1,43590,-30,-0.07,170,0.39,-110,-0.25,6075,12.15
52,Exit long,2001-01-03 06:00,Short,2181,1,43620,0,0.00,380,0.87,-60,-0.14,6075,12.15
52,Entry long,2001-01-03 03:15,Long,2181,1,43620,0,0.00,380,0.87,-60,-0.14,6075,12.15
53,Exit short,2001-01-03 10:15,Long,2222,1,43620,-820,-1.88,1460,3.35,-1230,-2.82,5255,10.51
53,Entry short,2001-01-03 06:00,Short,2181,1,43620,-820,-1.88,1460,3.35,-1230,-2.82,5255,10.51
54,Exit long,2001-01-03 11:45,Short,2158,1,44440,-1280,-2.88,440,0.99,-1400,-3.15,3975,7.95
54,Entry long,2001-01-03 10:15,Long,2222,1,44440,-1280,-2.88,440,0.99,-1400,-3.15,3975,7.95
55,Exit short,2001-01-03 13:00,Short X,2269.25,1,43160,-2225,-5.16,560,1.30,-2225,-5.16,1750,3.50
55,Entry short,2001-01-03 11:45,Short,2158,1,43160,-2225,-5.16,560,1.30,-2225,-5.16,1750,3.50
56,Exit long,2001-01-03 16:15,Short,2531.5,1,49700,930,1.87,1590,3.20,-1560,-3.14,2680,5.36
56,Entry long,2001-01-03 13:30,Long,2485,1,49700,930,1.87,1590,3.20,-1560,-3.14,2680,5.36
57,Exit short,2001-01-04 06:00,Long,2476,1,50630,1110,2.19,1340,2.65,-280,-0.55,3790,7.58
57,Entry short,2001-01-03 16:15,Short,2531.5,1,50630,1110,2.19,1340,2.65,-280,-0.55,3790,7.58
58,Exit long,2001-01-04 13:15,Short,2533.5,1,49520,1150,2.32,2020,4.08,-160,-0.32,4940,9.88
58,Entry long,2001-01-04 06:00,Long,2476,1,49520,1150,2.32,2020,4.08,-160,-0.32,4940,9.88
59,Exit short,2001-01-04 19:15,Long,2487.5,1,50670,920,1.82,1380,2.72,-50,-0.10,5860,11.72
59,Entry short,2001-01-04 13:15,Short,2533.5,1,50670,920,1.82,1380,2.72,-50,-0.10,5860,11.72
60,Exit long,2001-01-05 02:00,Short,2486,1,49750,-30,-0.06,350,0.70,-110,-0.22,5830,11.66
60,Entry long,2001-01-04 19:15,Long,2487.5,1,49750,-30,-0.06,350,0.70,-110,-0.22,5830,11.66
61,Exit short,2001-01-05 02:45,Long,2495,1,49720,-180,-0.36,290,0.58,-200,-0.40,5650,11.30
61,Entry short,2001-01-05 02:00,Short,2486,1,49720,-180,-0.36,290,0.58,-200,-0.40,5650,11.30
62,Exit long,2001-01-05 07:45,Short,2503,1,49900,160,0.32,600,1.20,-100,-0.20,5810,11.62
62,Entry long,2001-01-05 02:45,Long,2495,1,49900,160,0.32,600,1.20,-100,-0.20,5810,11.62
63,Exit short,2001-01-05 12:00,Long,2365,1,50060,2760,5.51,3510,7.01,-570,-1.14,8570,17.14
63,Entry short,2001-01-05 07:45,Short,2503,1,50060,2760,5.51,3510,7.01,-570,-1.14,8570,17.14
64,Exit long,2001-01-05 13:45,Short,2343,1,47300,-440,-0.93,440,0.93,-750,-1.59,8130,16.26
64,Entry long,2001-01-05 12:00,Long,2365,1,47300,-440,-0.93,440,0.93,-750,-1.59,8130,16.26
65,Exit short,2001-01-07 19:30,Long,2291,1,46860,1040,2.22,1390,2.97,-160,-0.34,9170,18.34
65,Entry short,2001-01-05 13:45,Short,2343,1,46860,1040,2.22,1390,2.97,-160,-0.34,9170,18.34
66,Exit long,2001-01-08 06:00,Short,2309,1,45820,360,0.79,630,1.37,-50,-0.11,9530,19.06
66,Entry long,2001-01-07 19:30,Long,2291,1,45820,360,0.79,630,1.37,-50,-0.11,9530,19.06
67,Exit short,2001-01-08 15:45,Long,2308,1,46180,20,0.04,2760,5.98,-180,-0.39,9550,19.10
67,Entry short,2001-01-08 06:00,Short,2309,1,46180,20,0.04,2760,5.98,-180,-0.39,9550,19.10
68,Exit long,2001-01-08 19:30,Short,2353,1,46160,900,1.95,1030,2.23,-120,-0.26,10450,20.90
68,Entry long,2001-01-08 15:45,Long,2308,1,46160,900,1.95,1030,2.23,-120,-0.26,10450,20.90
69,Exit short,2001-01-09 01:45,Long,2353,1,47060,0,0.00,190,0.40,-60,-0.13,10450,20.90
69,Entry short,2001-01-08 19:30,Short,2353,1,47060,0,0.00,190,0.40,-60,-0.13,10450,20.90
70,Exit long,2001-01-09 04:00,Short,2339.5,1,47060,-270,-0.57,140,0.30,-360,-0.76,10180,20.36
70,Entry long,2001-01-09 01:45,Long,2353,1,47060,-270,-0.57,140,0.30,-360,-0.76,10180,20.36
71,Exit short,2001-01-09 08:45,Long,2310,1,46790,590,1.26,1290,2.76,-170,-0.36,10770,21.54
71,Entry short,2001-01-09 04:00,Short,2339.5,1,46790,590,1.26,1290,2.76,-170,-0.36,10770,21.54
72,Exit long,2001-01-09 11:30,Short,2347,1,46200,740,1.60,1750,3.79,-20,-0.04,11510,23.02
72,Entry long,2001-01-09 08:45,Long,2310,1,46200,740,1.60,1750,3.79,-20,-0.04,11510,23.02
73,Exit short,2001-01-09 19:00,Long,2331,1,46940,320,0.68,1020,2.17,-450,-0.96,11830,23.66
73,Entry short,2001-01-09 11:30,Short,2347,1,46940,320,0.68,1020,2.17,-450,-0.96,11830,23.66
74,Exit long,2001-01-09 20:45,Short,2329.5,1,46620,-30,-0.06,80,0.17,-120,-0.26,11800,23.60
74,Entry long,2001-01-09 19:00,Long,2331,1,46620,-30,-0.06,80,0.17,-120,-0.26,11800,23.60
75,Exit short,2001-01-10 00:30,Long,2331,1,46590,-30,-0.06,60,0.13,-110,-0.24,11770,23.54
75,Entry short,2001-01-09 20:45,Short,2329.5,1,46590,-30,-0.06,60,0.13,-110,-0.24,11770,23.54
76,Exit long,2001-01-10 01:00,Short,2324,1,46620,-140,-0.30,0,0.00,-140,-0.30,11630,23.26
76,Entry long,2001-01-10 00:30,Long,2331,1,46620,-140,-0.30,0,0.00,-140,-0.30,11630,23.26
77,Exit short,2001-01-10 03:00,Long,2338,1,46480,-280,-0.60,40,0.09,-280,-0.60,11350,22.70
77,Entry short,2001-01-10 01:00,Short,2324,1,46480,-280,-0.60,40,0.09,-280,-0.60,11350,22.70
78,Exit long,2001-01-10 03:45,Short,2317,1,46760,-420,-0.90,0,0.00,-420,-0.90,10930,21.86
78,Entry long,2001-01-10 03:00,Long,2338,1,46760,-420,-0.90,0,0.00,-420,-0.90,10930,21.86
79,Exit short,2001-01-10 10:30,Long,2364.5,1,46340,-950,-2.05,1120,2.42,-1180,-2.55,9980,19.96
79,Entry short,2001-01-10 03:45,Short,2317,1,46340,-950,-2.05,1120,2.42,-1180,-2.55,9980,19.96
80,Exit long,2001-01-10 12:45,Short,2340,1,47290,-490,-1.04,1380,2.92,-840,-1.78,9490,18.98
80,Entry long,2001-01-10 10:30,Long,2364.5,1,47290,-490,-1.04,1380,2.92,-840,-1.78,9490,18.98
81,Exit short,2001-01-10 14:15,Long,2386.5,1,46800,-930,-1.99,770,1.65,-1060,-2.26,8560,17.12
81,Entry short,2001-01-10 12:45,Short,2340,1,46800,-930,-1.99,770,1.65,-1060,-2.26,8560,17.12
82,Exit long,2001-01-10 18:30,Short,2418,1,47730,630,1.32,1210,2.54,-420,-0.88,9190,18.38
82,Entry long,2001-01-10 14:15,Long,2386.5,1,47730,630,1.32,1210,2.54,-420,-0.88,9190,18.38
83,Exit short,2001-01-10 22:30,Long,2416,1,48360,40,0.08,210,0.43,-80,-0.17,9230,18.46
83,Entry short,2001-01-10 18:30,Short,2418,1,48360,40,0.08,210,0.43,-80,-0.17,9230,18.46
84,Exit long,2001-01-11 03:45,Short,2398.5,1,48320,-350,-0.72,180,0.37,-420,-0.87,8880,17.76
84,Entry long,2001-01-10 22:30,Long,2416,1,48320,-350,-0.72,180,0.37,-420,-0.87,8880,17.76
85,Exit short,2001-01-11 04:45,Long,2413,1,47970,-290,-0.60,30,0.06,-290,-0.60,8590,17.18
85,Entry short,2001-01-11 03:45,Short,2398.5,1,47970,-290,-0.60,30,0.06,-290,-0.60,8590,17.18
86,Exit long,2001-01-11 06:15,Short,2401,1,48260,-240,-0.50,20,0.04,-310,-0.64,8350,16.70
86,Entry long,2001-01-11 04:45,Long,2413,1,48260,-240,-0.50,20,0.04,-310,-0.64,8350,16.70
87,Exit short,2001-01-11 08:45,Long,2395,1,48020,120,0.25,480,1.00,-150,-0.31,8470,16.94
87,Entry short,2001-01-11 06:15,Short,2401,1,48020,120,0.25,480,1.00,-150,-0.31,8470,16.94
88,Exit long,2001-01-12 01:15,Short,2515.5,1,47900,2410,5.03,3640,7.60,0,0.00,10880,21.76
88,Entry long,2001-01-11 08:45,Long,2395,1,47900,2410,5.03,3640,7.60,0,0.00,10880,21.76
89,Exit short,2001-01-12 02:15,Long,2520.5,1,50310,-100,-0.20,0,0.00,-150,-0.30,10780,21.56
89,Entry short,2001-01-12 01:15,Short,2515.5,1,50310,-100,-0.20,0,0.00,-150,-0.30,10780,21.56
90,Exit long,2001-01-12 02:45,Short,2512,1,50410,-170,-0.34,0,0.00,-170,-0.34,10610,21.22
90,Entry long,2001-01-12 02:15,Long,2520.5,1,50410,-170,-0.34,0,0.00,-170,-0.34,10610,21.22
91,Exit short,2001-01-12 03:15,Long,2525,1,50240,-260,-0.52,0,0.00,-340,-0.68,10350,20.70
91,Entry short,2001-01-12 02:45,Short,2512,1,50240,-260,-0.52,0,0.00,-340,-0.68,10350,20.70
92,Exit long,2001-01-12 03:45,Short,2515,1,50500,-200,-0.40,0,0.00,-200,-0.40,10150,20.30
92,Entry long,2001-01-12 03:15,Long,2525,1,50500,-200,-0.40,0,0.00,-200,-0.40,10150,20.30
93,Exit short,2001-01-12 04:30,Long,2525,1,50300,-200,-0.40,20,0.04,-360,-0.72,9950,19.90
93,Entry short,2001-01-12 03:45,Short,2515,1,50300,-200,-0.40,20,0.04,-360,-0.72,9950,19.90
94,Exit long,2001-01-12 05:00,Short,2512.5,1,50500,-250,-0.50,20,0.04,-280,-0.55,9700,19.40
94,Entry long,2001-01-12 04:30,Long,2525,1,50500,-250,-0.50,20,0.04,-280,-0.55,9700,19.40
95,Exit short,2001-01-12 05:45,Long,2522,1,50250,-190,-0.38,40,0.08,-240,-0.48,9510,19.02
95,Entry short,2001-01-12 05:00,Short,2512.5,1,50250,-190,-0.38,40,0.08,-240,-0.48,9510,19.02
96,Exit long,2001-01-12 12:30,Short,2545.5,1,50440,470,0.93,1900,3.77,-600,-1.19,9980,19.96
96,Entry long,2001-01-12 05:45,Long,2522,1,50440,470,0.93,1900,3.77,-600,-1.19,9980,19.96
97,Exit short,2001-01-14 19:30,Long,2539.5,1,50910,120,0.24,780,1.53,-430,-0.84,10100,20.20
97,Entry short,2001-01-12 12:30,Short,2545.5,1,50910,120,0.24,780,1.53,-430,-0.84,10100,20.20
98,Exit long,2001-01-14 20:15,Short,2532,1,50790,-150,-0.30,0,0.00,-200,-0.39,9950,19.90
98,Entry long,2001-01-14 19:30,Long,2539.5,1,50790,-150,-0.30,0,0.00,-200,-0.39,9950,19.90
99,Exit short,2001-01-15 03:15,Long,2531,1,50640,20,0.04,110,0.22,-60,-0.12,9970,19.94
99,Entry short,2001-01-14 20:15,Short,2532,1,50640,20,0.04,110,0.22,-60,-0.12,9970,19.94
100,Exit long,2001-01-15 19:00,Short,2545,1,50620,280,0.55,490,0.97,0,0.00,10250,20.50
100,Entry long,2001-01-15 03:15,Long,2531,1,50620,280,0.55,490,0.97,0,0.00,10250,20.50
101,Exit short,2001-01-15 21:45,Long,2549,1,50900,-80,-0.16,100,0.20,-80,-0.16,10170,20.34
101,Entry short,2001-01-15 19:00,Short,2545,1,50900,-80,-0.16,100,0.20,-80,-0.16,10170,20.34
102,Exit long,2001-01-16 03:30,Short,2541.5,1,50980,-150,-0.29,40,0.08,-150,-0.29,10020,20.04
102,Entry long,2001-01-15 21:45,Long,2549,1,50980,-150,-0.29,40,0.08,-150,-0.29,10020,20.04
103,Exit short,2001-01-16 13:45,Long,2490.5,1,50830,1020,2.01,1930,3.80,-70,-0.14,11040,22.08
103,Entry short,2001-01-16 03:30,Short,2541.5,1,50830,1020,2.01,1930,3.80,-70,-0.14,11040,22.08
104,Exit long,2001-01-16 20:15,Short,2566.5,1,49810,1520,3.05,1800,3.61,-580,-1.16,12560,25.12
104,Entry long,2001-01-16 13:45,Long,2490.5,1,49810,1520,3.05,1800,3.61,-580,-1.16,12560,25.12
105,Exit short,2001-01-17 03:30,Long,2568,1,51330,-30,-0.06,190,0.37,-170,-0.33,12530,25.06
105,Entry short,2001-01-16 20:15,Short,2566.5,1,51330,-30,-0.06,190,0.37,-170,-0.33,12530,25.06
106,Exit long,2001-01-17 08:00,Short,2580.5,1,51360,250,0.49,250,0.49,-70,-0.14,12780,25.56
106,Entry long,2001-01-17 03:30,Long,2568,1,51360,250,0.49,250,0.49,-70,-0.14,12780,25.56
107,Exit short,2001-01-17 09:30,Short X,2616.5,1,51610,-720,-1.40,0,0.00,-720,-1.40,12060,24.12
107,Entry short,2001-01-17 08:00,Short,2580.5,1,51610,-720,-1.40,0,0.00,-720,-1.40,12060,24.12
108,Exit long,2001-01-17 13:00,Short,2623,1,52590,-130,-0.25,550,1.05,-260,-0.49,11930,23.86
108,Entry long,2001-01-17 10:00,Long,2629.5,1,52590,-130,-0.25,550,1.05,-260,-0.49,11930,23.86
109,Exit short,2001-01-17 18:30,Long,2599,1,52460,480,0.91,1260,2.40,-240,-0.46,12410,24.82
109,Entry short,2001-01-17 13:00,Short,2623,1,52460,480,0.91,1260,2.40,-240,-0.46,12410,24.82
110,Exit long,2001-01-17 22:15,Short,2601.5,1,51980,50,0.10,320,0.62,-190,-0.37,12460,24.92
110,Entry long,2001-01-17 18:30,Long,2599,1,51980,50,0.10,320,0.62,-190,-0.37,12460,24.92
111,Exit short,2001-01-18 02:00,Long,2610,1,52030,-170,-0.33,10,0.02,-170,-0.33,12290,24.58
111,Entry short,2001-01-17 22:15,Short,2601.5,1,52030,-170,-0.33,10,0.02,-170,-0.33,12290,24.58
112,Exit long,2001-01-18 04:45,Short,2603.5,1,52200,-130,-0.25,130,0.25,-260,-0.50,12160,24.32
112,Entry long,2001-01-18 02:00,Long,2610,1,52200,-130,-0.25,130,0.25,-260,-0.50,12160,24.32
113,Exit short,2001-01-18 08:45,Long,2593,1,52070,210,0.40,930,1.79,-30,-0.06,12370,24.74
113,Entry short,2001-01-18 04:45,Short,2603.5,1,52070,210,0.40,930,1.79,-30,-0.06,12370,24.74
114,Exit long,2001-01-19 09:45,Short,2704,1,51860,2220,4.28,3520,6.79,-760,-1.47,14590,29.18
114,Entry long,2001-01-18 08:45,Long,2593,1,51860,2220,4.28,3520,6.79,-760,-1.47,14590,29.18
115,Exit short,2001-01-19 13:15,Long,2693,1,54080,220,0.41,940,1.74,-150,-0.28,14810,29.62
115,Entry short,2001-01-19 09:45,Short,2704,1,54080,220,0.41,940,1.74,-150,-0.28,14810,29.62
116,Exit long,2001-01-19 15:30,Short,2677,1,53860,-320,-0.59,810,1.50,-420,-0.78,14490,28.98
116,Entry long,2001-01-19 13:15,Long,2693,1,53860,-320,-0.59,810,1.50,-420,-0.78,14490,28.98
117,Exit short,2001-01-21 19:00,Long,2698,1,53540,-420,-0.78,60,0.11,-560,-1.05,14070,28.14
117,Entry short,2001-01-19 15:30,Short,2677,1,53540,-420,-0.78,60,0.11,-560,-1.05,14070,28.14
118,Exit long,2001-01-21 23:15,Short,2691,1,53960,-140,-0.26,0,0.00,-230,-0.43,13930,27.86
118,Entry long,2001-01-21 19:00,Long,2698,1,53960,-140,-0.26,0,0.00,-230,-0.43,13930,27.86
119,Exit short,2001-01-22 04:15,Long,2694.5,1,53820,-70,-0.13,210,0.39,-140,-0.26,13860,27.72
119,Entry short,2001-01-21 23:15,Short,2691,1,53820,-70,-0.13,210,0.39,-140,-0.26,13860,27.72
120,Exit long,2001-01-22 05:30,Short,2680,1,53890,-290,-0.54,70,0.13,-360,-0.67,13570,27.14
120,Entry long,2001-01-22 04:15,Long,2694.5,1,53890,-290,-0.54,70,0.13,-360,-0.67,13570,27.14
121,Exit short,2001-01-22 10:45,Long,2687.5,1,53600,-150,-0.28,1160,2.16,-460,-0.86,13420,26.84
121,Entry short,2001-01-22 05:30,Short,2680,1,53600,-150,-0.28,1160,2.16,-460,-0.86,13420,26.84
122,Exit long,2001-01-22 12:15,Short,2669,1,53750,-370,-0.69,490,0.91,-500,-0.93,13050,26.10
122,Entry long,2001-01-22 10:45,Long,2687.5,1,53750,-370,-0.69,490,0.91,-500,-0.93,13050,26.10
123,Exit short,2001-01-22 14:45,Long,2664.5,1,53380,90,0.17,660,1.24,-110,-0.21,13140,26.28
123,Entry short,2001-01-22 12:15,Short,2669,1,53380,90,0.17,660,1.24,-110,-0.21,13140,26.28
124,Exit long,2001-01-22 15:30,Short,2654.5,1,53290,-200,-0.38,350,0.66,-380,-0.71,12940,25.88
124,Entry long,2001-01-22 14:45,Long,2664.5,1,53290,-200,-0.38,350,0.66,-380,-0.71,12940,25.88
125,Exit short,2001-01-22 16:00,Long,2683,1,53090,-570,-1.07,130,0.24,-690,-1.30,12370,24.74
125,Entry short,2001-01-22 15:30,Short,2654.5,1,53090,-570,-1.07,130,0.24,-690,-1.30,12370,24.74
126,Exit long,2001-01-22 18:30,Short,2659,1,53660,-480,-0.89,0,0.00,-600,-1.12,11890,23.78
126,Entry long,2001-01-22 16:00,Long,2683,1,53660,-480,-0.89,0,0.00,-600,-1.12,11890,23.78
127,Exit short,2001-01-22 19:15,Long,2665,1,53180,-120,-0.23,20,0.04,-160,-0.30,11770,23.54
127,Entry short,2001-01-22 18:30,Short,2659,1,53180,-120,-0.23,20,0.04,-160,-0.30,11770,23.54
128,Exit long,2001-01-22 22:30,Short,2664,1,53300,-20,-0.04,70,0.13,-30,-0.06,11750,23.50
128,Entry long,2001-01-22 19:15,Long,2665,1,53300,-20,-0.04,70,0.13,-30,-0.06,11750,23.50
129,Exit short,2001-01-23 00:30,Long,2667,1,53280,-60,-0.11,30,0.06,-90,-0.17,11690,23.38
129,Entry short,2001-01-22 22:30,Short,2664,1,53280,-60,-0.11,30,0.06,-90,-0.17,11690,23.38
130,Exit long,2001-01-23 04:45,Short,2659,1,53340,-160,-0.30,50,0.09,-240,-0.45,11530,23.06
130,Entry long,2001-01-23 00:30,Long,2667,1,53340,-160,-0.30,50,0.09,-240,-0.45,11530,23.06
131,Exit short,2001-01-23 07:00,Long,2668.5,1,53180,-190,-0.36,80,0.15,-220,-0.41,11340,22.68
131,Entry short,2001-01-23 04:45,Short,2659,1,53180,-190,-0.36,80,0.15,-220,-0.41,11340,22.68
132,Exit long,2001-01-23 09:30,Short,2661,1,53370,-150,-0.28,570,1.07,-320,-0.60,11190,22.38
132,Entry long,2001-01-23 07:00,Long,2668.5,1,53370,-150,-0.28,570,1.07,-320,-0.60,11190,22.38
133,Exit short,2001-01-23 10:45,Long,2688,1,53220,-540,-1.01,390,0.73,-660,-1.24,10650,21.30
133,Entry short,2001-01-23 09:30,Short,2661,1,53220,-540,-1.01,390,0.73,-660,-1.24,10650,21.30
134,Exit long,2001-01-23 19:30,Short,2782.5,1,53760,1890,3.52,1950,3.63,-340,-0.63,12540,25.08
134,Entry long,2001-01-23 10:45,Long,2688,1,53760,1890,3.52,1950,3.63,-340,-0.63,12540,25.08
135,Exit short,2001-01-24 02:30,Long,2770,1,55650,250,0.45,530,0.95,-50,-0.09,12790,25.58
135,Entry short,2001-01-23 19:30,Short,2782.5,1,55650,250,0.45,530,0.95,-50,-0.09,12790,25.58
136,Exit long,2001-01-24 09:00,Short,2766,1,55400,-80,-0.14,540,0.97,-140,-0.25,12710,25.42
136,Entry long,2001-01-24 02:30,Long,2770,1,55400,-80,-0.14,540,0.97,-140,-0.25,12710,25.42
137,Exit short,2001-01-24 11:00,Long,2786.5,1,55320,-410,-0.74,800,1.45,-500,-0.90,12300,24.60
137,Entry short,2001-01-24 09:00,Short,2766,1,55320,-410,-0.74,800,1.45,-500,-0.90,12300,24.60
138,Exit long,2001-01-24 12:45,Short,2751.5,1,55730,-700,-1.26,150,0.27,-720,-1.29,11600,23.20
138,Entry long,2001-01-24 11:00,Long,2786.5,1,55730,-700,-1.26,150,0.27,-720,-1.29,11600,23.20
139,Exit short,2001-01-24 15:00,Long,2761,1,55030,-190,-0.35,760,1.38,-300,-0.55,11410,22.82
139,Entry short,2001-01-24 12:45,Short,2751.5,1,55030,-190,-0.35,760,1.38,-300,-0.55,11410,22.82
140,Exit long,2001-01-24 20:15,Long X,2715,1,55220,-920,-1.67,120,0.22,-1280,-2.32,10490,20.98
140,Entry long,2001-01-24 15:00,Long,2761,1,55220,-920,-1.67,120,0.22,-1280,-2.32,10490,20.98
141,Exit long,2001-01-25 02:00,Short,2724,1,54400,80,0.15,130,0.24,-20,-0.04,10570,21.14
141,Entry long,2001-01-24 21:30,Long,2720,1,54400,80,0.15,130,0.24,-20,-0.04,10570,21.14
142,Exit short,2001-01-25 02:45,Long,2731.5,1,54480,-150,-0.28,0,0.00,-150,-0.28,10420,20.84
142,Entry short,2001-01-25 02:00,Short,2724,1,54480,-150,-0.28,0,0.00,-150,-0.28,10420,20.84
143,Exit long,2001-01-25 03:15,Short,2716,1,54630,-310,-0.57,30,0.05,-370,-0.68,10110,20.22
143,Entry long,2001-01-25 02:45,Long,2731.5,1,54630,-310,-0.57,30,0.05,-370,-0.68,10110,20.22
144,Exit short,2001-01-25 04:45,Long,2725,1,54320,-180,-0.33,30,0.06,-180,-0.33,9930,19.86
